date,wm_yr_wk,d
2011-01-29,11101,d_1
2011-01-30,11101,d_2
2011-01-31,11101,d_3
2011-02-01,11101,d_4
2011-02-02,11101,d_5
2011-02-03,11101,d_6
2011-02-04,11101,d_7
2011-02-05,11102,d_8
2011-02-06,11102,d_9
2011-02-07,11102,d_10
2011-02-08,11102,d_11
2011-02-09,11102,d_12
2011-02-10,11102,d_13
2011-02-11,11102,d_14
2011-02-12,11103,d_15
2011-02-13,11103,d_16
2011-02-14,11103,d_17
2011-02-15,11103,d_18
2011-02-16,11103,d_19
2011-02-17,11103,d_20
2011-02-18,11103,d_21
2011-02-19,11104,d_22
2011-02-20,11104,d_23
2011-02-21,11104,d_24
2011-02-22,11104,d_25
2011-02-23,11104,d_26
2011-02-24,11104,d_27
2011-02-25,11104,d_28
2011-02-26,11105,d_29
2011-02-27,11105,d_30
2011-02-28,11105,d_31
2011-03-01,11105,d_32
2011-03-02,11105,d_33
2011-03-03,11105,d_34
2011-03-04,11105,d_35
2011-03-05,11106,d_36
2011-03-06,11106,d_37
2011-03-07,11106,d_38
2011-03-08,11106,d_39
2011-03-09,11106,d_40
2011-03-10,11106,d_41
2011-03-11,11106,d_42
2011-03-12,11107,d_43
2011-03-13,11107,d_44
2011-03-14,11107,d_45
2011-03-15,11107,d_46
2011-03-16,11107,d_47
2011-03-17,11107,d_48
2011-03-18,11107,d_49
2011-03-19,11108,d_50
2011-03-20,11108,d_51
2011-03-21,11108,d_52
2011-03-22,11108,d_53
2011-03-23,11108,d_54
2011-03-24,11108,d_55
2011-03-25,11108,d_56
2011-03-26,11109,d_57
2011-03-27,11109,d_58
2011-03-28,11109,d_59
2011-03-29,11109,d_60
2011-03-30,11109,d_61
2011-03-31,11109,d_62
2011-04-01,11109,d_63
2011-04-02,11110,d_64
2011-04-03,11110,d_65
2011-04-04,11110,d_66
2011-04-05,11110,d_67
2011-04-06,11110,d_68
2011-04-07,11110,d_69
2011-04-08,11110,d_70
2011-04-09,11111,d_71
2011-04-10,11111,d_72
2011-04-11,11111,d_73
2011-04-12,11111,d_74
2011-04-13,11111,d_75
2011-04-14,11111,d_76
2011-04-15,11111,d_77
2011-04-16,11112,d_78
2011-04-17,11112,d_79
2011-04-18,11112,d_80
2011-04-19,11112,d_81
2011-04-20,11112,d_82
2011-04-21,11112,d_83
2011-04-22,11112,d_84
2011-04-23,11113,d_85
2011-04-24,11113,d_86
2011-04-25,11113,d_87
2011-04-26,11113,d_88
2011-04-27,11113,d_89
2011-04-28,11113,d_90
2011-04-29,11113,d_91
2011-04-30,11114,d_92
2011-05-01,11114,d_93
2011-05-02,11114,d_94
2011-05-03,11114,d_95
2011-05-04,11114,d_96
2011-05-05,11114,d_97
2011-05-06,11114,d_98
2011-05-07,11115,d_99
2011-05-08,11115,d_100
2011-05-09,11115,d_101
2011-05-10,11115,d_102
2011-05-11,11115,d_103
2011-05-12,11115,d_104
2011-05-13,11115,d_105
2011-05-14,11116,d_106
2011-05-15,11116,d_107
2011-05-16,11116,d_108
2011-05-17,11116,d_109
2011-05-18,11116,d_110
2011-05-19,11116,d_111
2011-05-20,11116,d_112
2011-05-21,11117,d_113
2011-05-22,11117,d_114
2011-05-23,11117,d_115
2011-05-24,11117,d_116
2011-05-25,11117,d_117
2011-05-26,11117,d_118
2011-05-27,11117,d_119
2011-05-28,11118,d_120
2011-05-29,11118,d_121
2011-05-30,11118,d_122
2011-05-31,11118,d_123
2011-06-01,11118,d_124
2011-06-02,11118,d_125
2011-06-03,11118,d_126
2011-06-04,11119,d_127
2011-06-05,11119,d_128
2011-06-06,11119,d_129
2011-06-07,11119,d_130
2011-06-08,11119,d_131
2011-06-09,11119,d_132
2011-06-10,11119,d_133
2011-06-11,11120,d_134
2011-06-12,11120,d_135
2011-06-13,11120,d_136
2011-06-14,11120,d_137
2011-06-15,11120,d_138
2011-06-16,11120,d_139
2011-06-17,11120,d_140
2011-06-18,11121,d_141
2011-06-19,11121,d_142
2011-06-20,11121,d_143
2011-06-21,11121,d_144
2011-06-22,11121,d_145
2011-06-23,11121,d_146
2011-06-24,11121,d_147
2011-06-25,11122,d_148
2011-06-26,11122,d_149
2011-06-27,11122,d_150
2011-06-28,11122,d_151
2011-06-29,11122,d_152
2011-06-30,11122,d_153
2011-07-01,11122,d_154
2011-07-02,11123,d_155
2011-07-03,11123,d_156
2011-07-04,11123,d_157
2011-07-05,11123,d_158
2011-07-06,11123,d_159
2011-07-07,11123,d_160
2011-07-08,11123,d_161
2011-07-09,11124,d_162
2011-07-10,11124,d_163
2011-07-11,11124,d_164
2011-07-12,11124,d_165
2011-07-13,11124,d_166
2011-07-14,11124,d_167
2011-07-15,11124,d_168
2011-07-16,11125,d_169
2011-07-17,11125,d_170
2011-07-18,11125,d_171
2011-07-19,11125,d_172
2011-07-20,11125,d_173
2011-07-21,11125,d_174
2011-07-22,11125,d_175
2011-07-23,11126,d_176
2011-07-24,11126,d_177
2011-07-25,11126,d_178
2011-07-26,11126,d_179
2011-07-27,11126,d_180
2011-07-28,11126,d_181
2011-07-29,11126,d_182
2011-07-30,11127,d_183
2011-07-31,11127,d_184
2011-08-01,11127,d_185
2011-08-02,11127,d_186
2011-08-03,11127,d_187
2011-08-04,11127,d_188
2011-08-05,11127,d_189
2011-08-06,11128,d_190
2011-08-07,11128,d_191
2011-08-08,11128,d_192
2011-08-09,11128,d_193
2011-08-10,11128,d_194
2011-08-11,11128,d_195
2011-08-12,11128,d_196
2011-08-13,11129,d_197
2011-08-14,11129,d_198
2011-08-15,11129,d_199
2011-08-16,11129,d_200
2011-08-17,11129,d_201
2011-08-18,11129,d_202
2011-08-19,11129,d_203
2011-08-20,11130,d_204
2011-08-21,11130,d_205
2011-08-22,11130,d_206
2011-08-23,11130,d_207
2011-08-24,11130,d_208
2011-08-25,11130,d_209
2011-08-26,11130,d_210
2011-08-27,11131,d_211
2011-08-28,11131,d_212
2011-08-29,11131,d_213
2011-08-30,11131,d_214
2011-08-31,11131,d_215
2011-09-01,11131,d_216
2011-09-02,11131,d_217
2011-09-03,11132,d_218
2011-09-04,11132,d_219
2011-09-05,11132,d_220
2011-09-06,11132,d_221
2011-09-07,11132,d_222
2011-09-08,11132,d_223
2011-09-09,11132,d_224
2011-09-10,11133,d_225
2011-09-11,11133,d_226
2011-09-12,11133,d_227
2011-09-13,11133,d_228
2011-09-14,11133,d_229
2011-09-15,11133,d_230
2011-09-16,11133,d_231
2011-09-17,11134,d_232
2011-09-18,11134,d_233
2011-09-19,11134,d_234
2011-09-20,11134,d_235
2011-09-21,11134,d_236
2011-09-22,11134,d_237
2011-09-23,11134,d_238
2011-09-24,11135,d_239
2011-09-25,11135,d_240
2011-09-26,11135,d_241
2011-09-27,11135,d_242
2011-09-28,11135,d_243
2011-09-29,11135,d_244
2011-09-30,11135,d_245
2011-10-01,11136,d_246
2011-10-02,11136,d_247
2011-10-03,11136,d_248
2011-10-04,11136,d_249
2011-10-05,11136,d_250
2011-10-06,11136,d_251
2011-10-07,11136,d_252
2011-10-08,11137,d_253
2011-10-09,11137,d_254
2011-10-10,11137,d_255
2011-10-11,11137,d_256
2011-10-12,11137,d_257
2011-10-13,11137,d_258
2011-10-14,11137,d_259
2011-10-15,11138,d_260
2011-10-16,11138,d_261
2011-10-17,11138,d_262
2011-10-18,11138,d_263
2011-10-19,11138,d_264
2011-10-20,11138,d_265
2011-10-21,11138,d_266
2011-10-22,11139,d_267
2011-10-23,11139,d_268
2011-10-24,11139,d_269
2011-10-25,11139,d_270
2011-10-26,11139,d_271
2011-10-27,11139,d_272
2011-10-28,11139,d_273
2011-10-29,11140,d_274
2011-10-30,11140,d_275
2011-10-31,11140,d_276
2011-11-01,11140,d_277
2011-11-02,11140,d_278
2011-11-03,11140,d_279
2011-11-04,11140,d_280
2011-11-05,11141,d_281
2011-11-06,11141,d_282
2011-11-07,11141,d_283
2011-11-08,11141,d_284
2011-11-09,11141,d_285
2011-11-10,11141,d_286
2011-11-11,11141,d_287
2011-11-12,11142,d_288
2011-11-13,11142,d_289
2011-11-14,11142,d_290
2011-11-15,11142,d_291
2011-11-16,11142,d_292
2011-11-17,11142,d_293
2011-11-18,11142,d_294
2011-11-19,11143,d_295
2011-11-20,11143,d_296
2011-11-21,11143,d_297
2011-11-22,11143,d_298
2011-11-23,11143,d_299
2011-11-24,11143,d_300
2011-11-25,11143,d_301
2011-11-26,11144,d_302
2011-11-27,11144,d_303
2011-11-28,11144,d_304
2011-11-29,11144,d_305
2011-11-30,11144,d_306
2011-12-01,11144,d_307
2011-12-02,11144,d_308
2011-12-03,11145,d_309
2011-12-04,11145,d_310
2011-12-05,11145,d_311
2011-12-06,11145,d_312
2011-12-07,11145,d_313
2011-12-08,11145,d_314
2011-12-09,11145,d_315
2011-12-10,11146,d_316
2011-12-11,11146,d_317
2011-12-12,11146,d_318
2011-12-13,11146,d_319
2011-12-14,11146,d_320
2011-12-15,11146,d_321
2011-12-16,11146,d_322
2011-12-17,11147,d_323
2011-12-18,11147,d_324
2011-12-19,11147,d_325
2011-12-20,11147,d_326
2011-12-21,11147,d_327
2011-12-22,11147,d_328
2011-12-23,11147,d_329
2011-12-24,11148,d_330
2011-12-25,11148,d_331
2011-12-26,11148,d_332
2011-12-27,11148,d_333
2011-12-28,11148,d_334
2011-12-29,11148,d_335
2011-12-30,11148,d_336
2011-12-31,11149,d_337
2012-01-01,11149,d_338
2012-01-02,11149,d_339
2012-01-03,11149,d_340
2012-01-04,11149,d_341
2012-01-05,11149,d_342
2012-01-06,11149,d_343
2012-01-07,11150,d_344
2012-01-08,11150,d_345
2012-01-09,11150,d_346
2012-01-10,11150,d_347
2012-01-11,11150,d_348
2012-01-12,11150,d_349
2012-01-13,11150,d_350
2012-01-14,11151,d_351
2012-01-15,11151,d_352
2012-01-16,11151,d_353
2012-01-17,11151,d_354
2012-01-18,11151,d_355
2012-01-19,11151,d_356
2012-01-20,11151,d_357
2012-01-21,11152,d_358
2012-01-22,11152,d_359
2012-01-23,11152,d_360
2012-01-24,11152,d_361
2012-01-25,11152,d_362
2012-01-26,11152,d_363
2012-01-27,11152,d_364
2012-01-28,11201,d_365
2012-01-29,11201,d_366
2012-01-30,11201,d_367
2012-01-31,11201,d_368
2012-02-01,11201,d_369
2012-02-02,11201,d_370
2012-02-03,11201,d_371
2012-02-04,11202,d_372
2012-02-05,11202,d_373
2012-02-06,11202,d_374
2012-02-07,11202,d_375
2012-02-08,11202,d_376
2012-02-09,11202,d_377
2012-02-10,11202,d_378
2012-02-11,11203,d_379
2012-02-12,11203,d_380
2012-02-13,11203,d_381
2012-02-14,11203,d_382
2012-02-15,11203,d_383
2012-02-16,11203,d_384
2012-02-17,11203,d_385
2012-02-18,11204,d_386
2012-02-19,11204,d_387
2012-02-20,11204,d_388
2012-02-21,11204,d_389
2012-02-22,11204,d_390
2012-02-23,11204,d_391
2012-02-24,11204,d_392
2012-02-25,11205,d_393
2012-02-26,11205,d_394
2012-02-27,11205,d_395
2012-02-28,11205,d_396
2012-02-29,11205,d_397
2012-03-01,11205,d_398
2012-03-02,11205,d_399
2012-03-03,11206,d_400
2012-03-04,11206,d_401
2012-03-05,11206,d_402
2012-03-06,11206,d_403
2012-03-07,11206,d_404
2012-03-08,11206,d_405
2012-03-09,11206,d_406
2012-03-10,11207,d_407
2012-03-11,11207,d_408
2012-03-12,11207,d_409
2012-03-13,11207,d_410
2012-03-14,11207,d_411
2012-03-15,11207,d_412
2012-03-16,11207,d_413
2012-03-17,11208,d_414
2012-03-18,11208,d_415
2012-03-19,11208,d_416
2012-03-20,11208,d_417
2012-03-21,11208,d_418
2012-03-22,11208,d_419
2012-03-23,11208,d_420
2012-03-24,11209,d_421
2012-03-25,11209,d_422
2012-03-26,11209,d_423
2012-03-27,11209,d_424
2012-03-28,11209,d_425
2012-03-29,11209,d_426
2012-03-30,11209,d_427
2012-03-31,11210,d_428
2012-04-01,11210,d_429
2012-04-02,11210,d_430
2012-04-03,11210,d_431
2012-04-04,11210,d_432
2012-04-05,11210,d_433
2012-04-06,11210,d_434
2012-04-07,11211,d_435
2012-04-08,11211,d_436
2012-04-09,11211,d_437
2012-04-10,11211,d_438
2012-04-11,11211,d_439
2012-04-12,11211,d_440
2012-04-13,11211,d_441
2012-04-14,11212,d_442
2012-04-15,11212,d_443
2012-04-16,11212,d_444
2012-04-17,11212,d_445
2012-04-18,11212,d_446
2012-04-19,11212,d_447
2012-04-20,11212,d_448
2012-04-21,11213,d_449
2012-04-22,11213,d_450
2012-04-23,11213,d_451
2012-04-24,11213,d_452
2012-04-25,11213,d_453
2012-04-26,11213,d_454
2012-04-27,11213,d_455
2012-04-28,11214,d_456
2012-04-29,11214,d_457
2012-04-30,11214,d_458
2012-05-01,11214,d_459
2012-05-02,11214,d_460
2012-05-03,11214,d_461
2012-05-04,11214,d_462
2012-05-05,11215,d_463
2012-05-06,11215,d_464
2012-05-07,11215,d_465
2012-05-08,11215,d_466
2012-05-09,11215,d_467
2012-05-10,11215,d_468
2012-05-11,11215,d_469
2012-05-12,11216,d_470
2012-05-13,11216,d_471
2012-05-14,11216,d_472
2012-05-15,11216,d_473
2012-05-16,11216,d_474
2012-05-17,11216,d_475
2012-05-18,11216,d_476
2012-05-19,11217,d_477
2012-05-20,11217,d_478
2012-05-21,11217,d_479
2012-05-22,11217,d_480
2012-05-23,11217,d_481
2012-05-24,11217,d_482
2012-05-25,11217,d_483
2012-05-26,11218,d_484
2012-05-27,11218,d_485
2012-05-28,11218,d_486
2012-05-29,11218,d_487
2012-05-30,11218,d_488
2012-05-31,11218,d_489
2012-06-01,11218,d_490
2012-06-02,11219,d_491
2012-06-03,11219,d_492
2012-06-04,11219,d_493
2012-06-05,11219,d_494
2012-06-06,11219,d_495
2012-06-07,11219,d_496
2012-06-08,11219,d_497
2012-06-09,11220,d_498
2012-06-10,11220,d_499
2012-06-11,11220,d_500
2012-06-12,11220,d_501
2012-06-13,11220,d_502
2012-06-14,11220,d_503
2012-06-15,11220,d_504
2012-06-16,11221,d_505
2012-06-17,11221,d_506
2012-06-18,11221,d_507
2012-06-19,11221,d_508
2012-06-20,11221,d_509
2012-06-21,11221,d_510
2012-06-22,11221,d_511
2012-06-23,11222,d_512
2012-06-24,11222,d_513
2012-06-25,11222,d_514
2012-06-26,11222,d_515
2012-06-27,11222,d_516
2012-06-28,11222,d_517
2012-06-29,11222,d_518
2012-06-30,11223,d_519
2012-07-01,11223,d_520
2012-07-02,11223,d_521
2012-07-03,11223,d_522
2012-07-04,11223,d_523
2012-07-05,11223,d_524
2012-07-06,11223,d_525
2012-07-07,11224,d_526
2012-07-08,11224,d_527
2012-07-09,11224,d_528
2012-07-10,11224,d_529
2012-07-11,11224,d_530
2012-07-12,11224,d_531
2012-07-13,11224,d_532
2012-07-14,11225,d_533
2012-07-15,11225,d_534
2012-07-16,11225,d_535
2012-07-17,11225,d_536
2012-07-18,11225,d_537
2012-07-19,11225,d_538
2012-07-20,11225,d_539
2012-07-21,11226,d_540
2012-07-22,11226,d_541
2012-07-23,11226,d_542
2012-07-24,11226,d_543
2012-07-25,11226,d_544
2012-07-26,11226,d_545
2012-07-27,11226,d_546
2012-07-28,11227,d_547
2012-07-29,11227,d_548
2012-07-30,11227,d_549
2012-07-31,11227,d_550
2012-08-01,11227,d_551
2012-08-02,11227,d_552
2012-08-03,11227,d_553
2012-08-04,11228,d_554
2012-08-05,11228,d_555
2012-08-06,11228,d_556
2012-08-07,11228,d_557
2012-08-08,11228,d_558
2012-08-09,11228,d_559
2012-08-10,11228,d_560
2012-08-11,11229,d_561
2012-08-12,11229,d_562
2012-08-13,11229,d_563
2012-08-14,11229,d_564
2012-08-15,11229,d_565
2012-08-16,11229,d_566
2012-08-17,11229,d_567
2012-08-18,11230,d_568
2012-08-19,11230,d_569
2012-08-20,11230,d_570
2012-08-21,11230,d_571
2012-08-22,11230,d_572
2012-08-23,11230,d_573
2012-08-24,11230,d_574
2012-08-25,11231,d_575
2012-08-26,11231,d_576
2012-08-27,11231,d_577
2012-08-28,11231,d_578
2012-08-29,11231,d_579
2012-08-30,11231,d_580
2012-08-31,11231,d_581
2012-09-01,11232,d_582
2012-09-02,11232,d_583
2012-09-03,11232,d_584
2012-09-04,11232,d_585
2012-09-05,11232,d_586
2012-09-06,11232,d_587
2012-09-07,11232,d_588
2012-09-08,11233,d_589
2012-09-09,11233,d_590
2012-09-10,11233,d_591
2012-09-11,11233,d_592
2012-09-12,11233,d_593
2012-09-13,11233,d_594
2012-09-14,11233,d_595
2012-09-15,11234,d_596
2012-09-16,11234,d_597
2012-09-17,11234,d_598
2012-09-18,11234,d_599
2012-09-19,11234,d_600
2012-09-20,11234,d_601
2012-09-21,11234,d_602
2012-09-22,11235,d_603
2012-09-23,11235,d_604
2012-09-24,11235,d_605
2012-09-25,11235,d_606
2012-09-26,11235,d_607
2012-09-27,11235,d_608
2012-09-28,11235,d_609
2012-09-29,11236,d_610
2012-09-30,11236,d_611
2012-10-01,11236,d_612
2012-10-02,11236,d_613
2012-10-03,11236,d_614
2012-10-04,11236,d_615
2012-10-05,11236,d_616
2012-10-06,11237,d_617
2012-10-07,11237,d_618
2012-10-08,11237,d_619
2012-10-09,11237,d_620
2012-10-10,11237,d_621
2012-10-11,11237,d_622
2012-10-12,11237,d_623
2012-10-13,11238,d_624
2012-10-14,11238,d_625
2012-10-15,11238,d_626
2012-10-16,11238,d_627
2012-10-17,11238,d_628
2012-10-18,11238,d_629
2012-10-19,11238,d_630
2012-10-20,11239,d_631
2012-10-21,11239,d_632
2012-10-22,11239,d_633
2012-10-23,11239,d_634
2012-10-24,11239,d_635
2012-10-25,11239,d_636
2012-10-26,11239,d_637
2012-10-27,11240,d_638
2012-10-28,11240,d_639
2012-10-29,11240,d_640
2012-10-30,11240,d_641
2012-10-31,11240,d_642
2012-11-01,11240,d_643
2012-11-02,11240,d_644
2012-11-03,11241,d_645
2012-11-04,11241,d_646
2012-11-05,11241,d_647
2012-11-06,11241,d_648
2012-11-07,11241,d_649
2012-11-08,11241,d_650
2012-11-09,11241,d_651
2012-11-10,11242,d_652
2012-11-11,11242,d_653
2012-11-12,11242,d_654
2012-11-13,11242,d_655
2012-11-14,11242,d_656
2012-11-15,11242,d_657
2012-11-16,11242,d_658
2012-11-17,11243,d_659
2012-11-18,11243,d_660
2012-11-19,11243,d_661
2012-11-20,11243,d_662
2012-11-21,11243,d_663
2012-11-22,11243,d_664
2012-11-23,11243,d_665
2012-11-24,11244,d_666
2012-11-25,11244,d_667
2012-11-26,11244,d_668
2012-11-27,11244,d_669
2012-11-28,11244,d_670
2012-11-29,11244,d_671
2012-11-30,11244,d_672
2012-12-01,11245,d_673
